ID;Дата и время создания;Дата последнего изменения;Код КПГЗ;Наименование КПГЗ;Вышестоящий КПГЗ;Описание;ОКПД;ОКПД-2;Код номенклатуры МЭР;Необходимость привязки к объекту городского хозяйства;Признак стандартизированной позиции;Требуется проведение государственной экспертизы;Относится к капитальному и текущему ремонту, благоустройству, устройству пешеходных зон, сносу и т.п.;Тип объекта городского хозяйства;Проект
3203839;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.07;АВТОМАТИЧЕСКИЕ БИОХИМИЧЕСКИЕ МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Автоматические биохимические медицинские анализаторы. Данная позиция не имеет подчиненных позиций.;33.20.53.322;26.51.53.190;33.10.370;;Нет;;;;Нет
3203841;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.09;АВТОМАТИЧЕСКИЕ БИОХИМИЧЕСКИЕ МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ НЕПРЕРЫВНОГО ПОТОКА;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Автоматические биохимические медицинские анализаторы непрерывного потока. Данная позиция не имеет подчиненных позиций.;33.20.53.322;26.51.53.190;33.10.370;;Нет;;;;Нет
3203842;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.10;АВТОМАТИЧЕСКИЕ БИОХИМИЧЕСКИЕ ЦЕНТРИФУЖНЫЕ МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Автоматические биохимические центрифужные медицинские анализаторы. Данная позиция не имеет подчиненных позиций.;33.20.53.322;26.51.53.190;33.10.370;;Нет;;;;Нет
3203861;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.05;АВТОМАТИЧЕСКИЕ ГЕМОКОАГУЛОМЕТРЫ;01.02.05.03 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ СОСТАВА И СВОЙСТВ БИОЛОГИЧЕСКИХ ЖИДКОСТЕЙ;Автоматические гемокоагулометры. Данная позиция не имеет подчиненных позиций.;33.20.53.329;26.51.53.190;24.42.610;;Нет;;;;Нет
3203585;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.01.09.05;АВТОМАТИЧЕСКИЕ ИЗМЕРИТЕЛИ АРТЕРИАЛЬНОГО ДАВЛЕНИЯ И ЧАСТОТЫ ПУЛЬСА;01.02.05.01.09 ПРИБОРЫ ДЛЯ ИЗМЕРЕНИЯ ДАВЛЕНИЯ;Автоматические измерители артериального давления и частоты пульса. Данная позиция не имеет подчиненных позиций.;33.10.12.129;26.60.12.129;33.10.210;;Нет;;;;Нет
3205207;26.03.2016 00:00:00;26.03.2016 00:00:00;01.07.09.02;АВТОМАТЫ ВЕНДИНГОВЫЕ;01.07.09 ОБОРУДОВАНИЕ ДЛЯ ПАРКОВ И МЕСТ ОТДЫХА;В данную группировку входят: <br>- автоматы вендинговые  по продаже сладостей<br>- автоматы вендинговые  по продаже сувениров<br>- автоматы вендинговые  по продаже напитков;29.24.33;28.29.43;36.63.991;;Нет;;;;Нет
8529889;26.03.2016 00:00:00;07.02.2017 12:07:31;01.07.09.02.03;АВТОМАТЫ ВЕНДИНГОВЫЕ ПО ПРОДАЖЕ НАПИТКОВ;01.07.09.02 АВТОМАТЫ ВЕНДИНГОВЫЕ;Автоматы вендинговые по продаже напитков. Данная позиция не имеет подчиненных позиций.;29.24.33.311;28.29.43.000;;;Нет;;;;Нет
8529886;26.03.2016 00:00:00;07.02.2017 12:07:00;01.07.09.02.01;АВТОМАТЫ ВЕНДИНГОВЫЕ ПО ПРОДАЖЕ СЛАДОСТЕЙ;01.07.09.02 АВТОМАТЫ ВЕНДИНГОВЫЕ;Автоматы вендинговые по продаже сладостей. Данная позиция не имеет подчиненных позиций.;29.24.33.519;28.29.43.000;;;Нет;;;;Нет
8529527;26.03.2016 00:00:00;07.02.2017 11:50:03;01.07.09.02.02;АВТОМАТЫ ВЕНДИНГОВЫЕ ПО ПРОДАЖЕ СУВЕНИРОВ;01.07.09.02 АВТОМАТЫ ВЕНДИНГОВЫЕ;Автоматы вендинговые по продаже сувениров. Данная позиция не имеет подчиненных позиций.;29.24.33.520;28.29.43.000;;;Нет;;;;Нет
3203910;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.05.01;АВТОМАТЫ ДЛЯ ФИКСАЦИИ И ОКРАСКИ МАЗКОВ КРОВИ;01.02.05.05 ПРИБОРЫ И АППАРАТЫ ДЛЯ КЛИНИКО-ДИАГНОСТИЧЕСКИХ ЛАБОРАТОРНЫХ ИССЛЕДОВАНИЙ (КРОМЕ АНАЛИЗАТОРОВ);Автоматы для фиксации и окраски мазков крови. Данная позиция не имеет подчиненных позиций.;33.20.53.339;26.51.53.190;33.10.991;;Нет;;;;Нет
3205211;26.03.2016 00:00:00;26.03.2016 00:00:00;01.07.09.03;АВТОМАТЫ ИГРОВЫЕ;01.07.09 ОБОРУДОВАНИЕ ДЛЯ ПАРКОВ И МЕСТ ОТДЫХА;В данную группировку входят: <br>- автоматы игровые на основе видеоигр<br>- автоматы игровые миниджеты<br>- автоматы игровые механические;36.50.43.121;32.40.42.130;36.63.110;;Нет;;;;Нет
3205214;26.03.2016 00:00:00;26.03.2016 00:00:00;01.07.09.03.03;АВТОМАТЫ ИГРОВЫЕ МЕХАНИЧЕСКИЕ;01.07.09.03 АВТОМАТЫ ИГРОВЫЕ;Автоматы игровые механические. Данная позиция не имеет подчиненных позиций.;36.50.43.121;32.40.42.130;36.63.110;;Нет;;;;Нет
3205213;26.03.2016 00:00:00;26.03.2016 00:00:00;01.07.09.03.02;АВТОМАТЫ ИГРОВЫЕ МИНИДЖЕТЫ;01.07.09.03 АВТОМАТЫ ИГРОВЫЕ;Автоматы игровые миниджеты. Данная позиция не имеет подчиненных позиций.;36.50.43.121;32.40.42.130;36.63.110;;Нет;;;;Нет
3205212;26.03.2016 00:00:00;26.03.2016 00:00:00;01.07.09.03.01;АВТОМАТЫ ИГРОВЫЕ НА ОСНОВЕ ВИДЕОИГР;01.07.09.03 АВТОМАТЫ ИГРОВЫЕ;Автоматы игровые на основе видеоигр. Данная позиция не имеет подчиненных позиций.;36.50.43.121;32.40.42.130;36.63.110;;Нет;;;;Нет
13623940;20.07.2017 11:47:46;04.10.2017 17:38:15;01.12.01.23;АВТОМОБИЛИ АВАРИЙНО-РЕМОНТНЫЕ;01.12.01 СПЕЦТЕХНИКА ДЛЯ ДОРОЖНО-ТРАНСПОРТНОГО СТРОИТЕЛЬСТВА;Автомобили аварийно-ремонтные. Данная позиция не имеет подчиненных позиций.;34.10.54.910;29.10.59.130;;Нет;Да;Нет;Нет;;Нет
13623883;20.07.2017 14:23:25;04.10.2017 17:35:47;01.09.03.04;АВТОМОБИЛИ ВАХТОВЫЕ;01.09.03 МАШИНЫ СПЕЦИАЛИЗИРОВАННЫЕ НА БАЗЕ ТРАНСПОРТНЫХ СРЕДСТВ;Автомобили вахтовые. Данная позиция не имеет подчиненных позиций.;34.10.54.910;29.10.59.390;;Нет;Да;Нет;Нет;;Нет
3205340;29.03.2014 00:00:00;26.03.2016 00:00:00;01.09.01.02;АВТОМОБИЛИ ГРУЗОВЫЕ;01.09.01 АВТОТРАНСПОРТНЫЕ СРЕДСТВА;В данную группировку входят: <br>- автомобили грузовые шасси<br>- автомобили грузовые бортовая платформа<br>- автофургоны цельнометаллические однообъемные<br>- автофургоны изотермические<br>- автофургоны прочие<br>- самосвалы<br>- автоцистерны<br>- цементовозы (бетономешалки)<br>- тягачи седельные<br>- автомобили грузовые прочие;34.10.41.191;29.10.41.111;34.10.540;;Нет;;;;Нет
3205342;26.03.2016 00:00:00;26.03.2016 00:00:00;01.09.01.02.02;АВТОМОБИЛИ ГРУЗОВЫЕ БОРТОВАЯ ПЛАТФОРМА;01.09.01.02 АВТОМОБИЛИ ГРУЗОВЫЕ;Автомобили грузовые бортовая платформа. Данная позиция не имеет подчиненных позиций.;34.10.4;29.10.4;36.63.991;;Нет;;;;Нет
13623837;20.07.2017 11:56:17;04.10.2017 17:34:16;01.09.01.02.10;АВТОМОБИЛИ ГРУЗОВЫЕ С КРАНОМ-МАНИПУЛЯТОРОМ;01.09.01.02 АВТОМОБИЛИ ГРУЗОВЫЕ;Автомобили грузовые с краном-манипулятором. Данная позиция не имеет подчиненных позиций.;29.22.14.518;29.10.59.310;;Нет;Да;Нет;Нет;;Нет
3205341;26.03.2016 00:00:00;26.03.2016 00:00:00;01.09.01.02.01;АВТОМОБИЛИ ГРУЗОВЫЕ ШАССИ;01.09.01.02 АВТОМОБИЛИ ГРУЗОВЫЕ;Автомобили грузовые шасси. Данная позиция не имеет подчиненных позиций.;34.10.4;29.10.4;36.63.991;;Нет;;;;Нет
14089685;29.03.2014 00:00:00;08.11.2017 12:23:40;01.09.01.01;АВТОМОБИЛИ ЛЕГКОВЫЕ;01.09.01 АВТОТРАНСПОРТНЫЕ СРЕДСТВА;Автомобили легковые. Данная позиция не имеет подчиненных позиций;34.10.21.339;29.10.21.000;;Нет;Нет;Нет;Нет;;Нет
3205772;26.03.2016 00:00:00;26.03.2016 00:00:00;01.12.03.03.01;АВТОМОБИЛИ ЛЕСОПАТРУЛЬНЫЕ;01.12.03.03 СПЕЦТЕХНИКА ЛЕСОПОЖАРНАЯ;Автомобили лесопатрульные . Данная позиция не имеет подчиненных позиций.;34.10.54.929;29.10.59.390;34.10.730;;Нет;;;;Нет
13641992;15.12.2015 13:05:45;05.10.2017 17:11:52;01.04.03.01.03;АВТОМОБИЛИ ПОЖАРНЫЕ, АВАРИЙНО-СПАСАТЕЛЬНЫЕ;01.04.03.01 СПЕЦТЕХНИКА, АВТОМОБИЛИ ДЛЯ СПАСАТЕЛЬНЫХ СЛУЖБ И СЛУЖБ ГРАЖДАНСКОЙ ОБОРОНЫ;Данная позиция не имеет подчиненных позиций;34.10.54.316;29.10.59.150;;Нет;Да;Нет;Нет;;Нет
13623854;20.07.2017 11:57:31;04.10.2017 17:35:07;01.09.01.02.11;АВТОМОБИЛИ СПЕЦИАЛЬНЫЕ (МУЛЬТИЛИФТЫ);01.09.01.02 АВТОМОБИЛИ ГРУЗОВЫЕ;Автомобили специальные (мультилифты). Данная позиция не имеет подчиненных позиций.;34.10.54.910;29.10.59.390;;Нет;Да;Нет;Нет;;Нет
3204971;29.03.2014 00:00:00;26.03.2016 00:00:00;01.05.03.01;АВТОМОБИЛИ СПЕЦТЕХНИЧЕСКИЕ ЭКОЛОГИЧЕСКОГО НАЗНАЧЕНИЯ;01.05.03 СПЕЦТЕХНИКА ЭКОЛОГИЧЕСКОГО НАЗНАЧЕНИЯ;Автомобили спецтехнические экологического назначения. Данная позиция не имеет подчиненных позиций.;34.10.54.910;29.10.59.390;34.10.730;;Нет;;;;Нет
3206660;26.03.2016 00:00:00;26.03.2016 00:00:00;01.25.01.05;АВТОМОЙКИ;01.25.01 ОБОРУДОВАНИЕ ПРОИЗВОДСТВЕННОЕ АВТОСЕРВИСОВ;Автомойки. Данная позиция не имеет подчиненных позиций.;29.24.24.511;28.29.22.190;29.24.520;;Нет;;;;Нет
3205977;26.03.2016 00:00:00;26.03.2016 00:00:00;01.13.09.06.06;АВТООТВЕТЧИКИ АВТОНОМНЫЕ;01.13.09.06 УСТРОЙСТВА АБОНЕНТСКИЕ ТЕЛЕФОННОЙ СВЯЗИ;Автоответчики автономные. Данная позиция не имеет подчиненных позиций.;32.30.32.510;26.40.32.190;30.0;;Нет;;;;Нет
13623880;20.07.2017 12:06:34;04.10.2017 17:35:30;01.09.03.03;АВТОПОДЪЕМНИКИ НА БАЗЕ ТРАНСПОРТНЫХ СРЕДСТВ;01.09.03 МАШИНЫ СПЕЦИАЛИЗИРОВАННЫЕ НА БАЗЕ ТРАНСПОРТНЫХ СРЕДСТВ;Автоподъемники на базе транспортных средств. Данная позиция не имеет подчиненных позиций.;34.10.54.910;29.10.59.270;;Нет;Да;Нет;Нет;;Нет
13624082;20.07.2017 12:16:52;04.10.2017 17:42:28;01.12.04.01.07;АВТОПОДЪЕМНИКИ САМОХОДНЫЕ;01.12.04.01 ТЕХНИКА ДЛЯ САНИТАРНОГО И ТЕХНИЧЕСКОГО СОДЕРЖАНИЯ;Автоподъемники самоходные. Данная позиция не имеет подчиненных позиций.;29.22.14.790;28.22.14.159;;Нет;Да;Нет;Нет;;Нет
14090447;29.03.2014 00:00:00;08.11.2017 12:58:26;01.09.04;АВТОРАНСПОРТНЫЕ СРЕДСТВА НЕСАМОХОДНЫЕ;01.09 ТРАНСПОРТНЫЕ СРЕДСТВА, РАСХОДНЫЕ МАТЕРИАЛЫ И ЗАПАСНЫЕ ЧАСТИ ДЛЯ НИХ;В данную группировку входят: <br>- прицепы<br>- полуприцепы;34.20.23;29.20.23;;;Нет;;;;Нет
12627290;26.03.2016 00:00:00;05.09.2017 10:15:47;01.09.01.02.06;АВТОСАМОСВАЛЫ;01.09.01.02 АВТОМОБИЛИ ГРУЗОВЫЕ;Автосамосвалы. Данная позиция не имеет подчиненных позиций.;34.10.4;29.10.4;;Нет;Да;Нет;Нет;;Нет
13623820;20.07.2017 12:23:30;04.10.2017 17:33:58;01.09.01.02.07.01;АВТОТОПЛИВОЗАПРАВЩИКИ;01.09.01.02.07 АВТОЦИСТЕРНЫ;Автотопливозаправщики. Данная позиция не имеет подчиненных позиций.;34.10.54.924;29.10.59.230;;Нет;Да;Нет;Нет;;Нет
12731589;29.03.2014 00:00:00;08.09.2017 11:26:13;01.09.01;АВТОТРАНСПОРТНЫЕ СРЕДСТВА;01.09 ТРАНСПОРТНЫЕ СРЕДСТВА, РАСХОДНЫЕ МАТЕРИАЛЫ И ЗАПАСНЫЕ ЧАСТИ ДЛЯ НИХ;В данную группировку входят: <br>- автомобили легковые и микроавтобусы до 8 пассажирских мест<br>- автомобили грузовые<br>- автобусы, микроавтобусы<br>- снегоходы<br>- мотовездеходы (квадроциклы)<br>- мотоциклы<br>- ратраки;34.10;29.10;;;Нет;;;;Нет
13623818;26.03.2016 00:00:00;04.10.2017 17:33:26;01.09.01.02.05;АВТОФУРГОНЫ;01.09.01.02 АВТОМОБИЛИ ГРУЗОВЫЕ;Автофургоны. Данная позиция не имеет подчиненных позиций.;34.10.4;29.10.4;;Нет;Да;Нет;Нет;;Нет
3205347;26.03.2016 00:00:00;26.03.2016 00:00:00;01.09.01.02.07;АВТОЦИСТЕРНЫ;01.09.01.02 АВТОМОБИЛИ ГРУЗОВЫЕ;Автоцистерны. Данная позиция не имеет подчиненных позиций.;34.10.54.924;29.10.59.390;34.10.730;;Нет;;;;Нет
13641459;15.12.2015 13:12:44;05.10.2017 16:57:44;01.04.03.01.04;АВТОЦИСТЕРНЫ ПОЖАРНЫЕ;01.04.03.01 СПЕЦТЕХНИКА, АВТОМОБИЛИ ДЛЯ СПАСАТЕЛЬНЫХ СЛУЖБ И СЛУЖБ ГРАЖДАНСКОЙ ОБОРОНЫ;Автоцистерны пожарные. Данная позиция не имеет подчиненных позиций;34.10.54.310;29.10.59.140;;Нет;Да;Нет;Нет;;Нет
12479858;26.03.2016 00:00:00;30.08.2017 12:35:54;01.09.03.02;АВТОЭВАКУАТОРЫ;01.09.03 МАШИНЫ СПЕЦИАЛИЗИРОВАННЫЕ НА БАЗЕ ТРАНСПОРТНЫХ СРЕДСТВ;Автоэвакуаторы. Данная позиция не имеет подчиненных позиций.;34.10.54.910;29.10.59.270;;Нет;Да;Нет;Нет;;Нет
3204319;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.26.38;АДАПТАЦИОННЫЕ ВЕЛОСИПЕДЫ (ТРАВМАТОЛОГИЯ);01.02.05.26 РЕНТГЕНОЛОГИЧЕСКОЕ, РАДИОЛОГИЧЕСКОЕ И ТРАВМАТОЛОГИЧЕСКОЕ ОБОРУДОВАНИЕ;Адаптационные велосипеды (травматология). Данная позиция не имеет подчиненных позиций.;33.10.15.190;32.50.13.190;26.15.540;;Нет;;;;Нет
3203475;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.01.03.06;АДАПТОМЕТРЫ (ФОТОСЕНСОМЕТРЫ), НИКТОМЕТРЫ;01.02.05.01.03 ОФТАЛЬМОЛОГИЧЕСКИЕ ПРИБОРЫ;Адаптометры (фотосенсометры), никтометры. Данная позиция не имеет подчиненных позиций.;33.10.15.211;32.50.13.120;33.10.360;;Нет;;;;Нет
3203636;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.01.12.06;АЗОТОГРАФЫ (АНАЛИЗАТОРЫ АЗОТА);01.02.05.01.12 ПРИБОРЫ ДЛЯ ИЗМЕРЕНИЯ ОБЪЕМА И ГАЗОВОГО СОСТАВА ВЫДЫХАЕМОГО И ВДЫХАЕМОГО ВОЗДУХА И КРОВИ;Азотографы (анализаторы азота). Данная позиция не имеет подчиненных позиций.;33.10.12.124;26.60.12.124;32.30.262;;Нет;;;;Нет
3206351;29.03.2014 00:00:00;26.03.2016 00:00:00;01.17.01;АКВАРИУМЫ И АКВАРИУМНОЕ ОБОРУДОВАНИЕ;01.17 ЗООТОВАРЫ И ВЕТЕРИНАРНЫЕ ТОВАРЫ;Аквариумы и аквариумное оборудование. Данная позиция не имеет подчиненных позиций.;26.13.13.714;23.13.13.142;26.13.530;;Нет;;;;Нет
3203476;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.01.03.07;АККОМОДОМЕТРЫ;01.02.05.01.03 ОФТАЛЬМОЛОГИЧЕСКИЕ ПРИБОРЫ;Аккомодометры. Данная позиция не имеет подчиненных позиций.;33.10.15.211;32.50.13.120;33.10.360;;Нет;;;;Нет
3205032;29.03.2014 00:00:00;26.03.2016 00:00:00;01.07.03.01.04.01;АККОРДЕОНЫ;01.07.03.01.04 ИНСТРУМЕНТЫ ЯЗЫЧКОВЫЕ С МЕХАМИ;Аккордеоны. Данная позиция не имеет подчиненных позиций.;36.30.13.121;32.20.13.131;36.30.220;;Нет;;;;Нет
3205932;26.03.2016 00:00:00;26.03.2016 00:00:00;01.13.07.05.07.02;АККУМУЛЯТОРЫ ДЛЯ МОБИЛЬНЫХ ТЕЛЕФОНОВ;01.13.07.05.07 АККУМУЛЯТОРЫ ДЛЯ УСТРОЙСТВ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИХ, ЭЛЕКТРОНИКИ, ОРГТЕХНИКИ, СРЕДСТВ СВЯЗИ;Аккумуляторы для мобильных телефонов. Данная позиция не имеет подчиненных позиций.;31.40.23;27.20.23;30.0;;Нет;;;;Нет
